deviceId,launcherIcon.height,launcherIcon.width
approachs60,33,40
approachs62,35,35
approachs7042mm,70,70
approachs7047mm,80,80
d2air,60,60
d2airx10,70,70
d2mach1,60,60
descentg1,62,62
epix2,60,60
epix2pro42mm,60,60
epix2pro47mm,60,60
epix2pro51mm,60,60
fenix5s,36,36
fenixchronos,36,36
fr265,60,60
fr265s,60,60
fr45,65,65
fr55,35,35
fr920xt,65,65
fr965,65,65
garminswim2,65,65
instinct2,62,62
instinct2s,54,54
instinct2x,62,62
instinctcrossover,26,26
legacyherocaptainmarvel,30,30
legacyherofirstavenger,35,35
legacysagadarthvader,35,35
legacysagarey,30,30
marq2,60,60
marq2aviator,60,60
venu,60,60
venu2,70,70
venu2plus,70,70
venu2s,61,61
venud,60,60
venusq,36,36
venusqm,36,36
vivoactive,43,61
vivoactive3,33,40
vivoactive3d,33,40
vivoactive3m,33,40
vivoactive3mlte,33,40
vivoactive4,35,35
vivoactive4s,30,30
vivoactive_hr,33,40
vivolife,33,40
